Composition mesclun;;;;;;u;;;;;;
;;;;;1;kg;20;kg;;;;
;Mélange feuilles salade;;;75%;0,75;kg;15;kg;;;;
;Melange verdures asiatiques;;;10%;0,1;kg;2;kg;;;;
;Frisée;;;15%;0,15;kg;3;kg;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Culture;Rangs/pl. de 30 po;Espacement sur le rang (cm)          (po);;JAM;Période de récolte;Jours au champ;Jours en cellule;Rendement par planche de 30m;Unité;Prix/unité;Revenu par planche;Notes
Mesclun (salanova);4;15;6;60;27;57;30;80;Livre;€7,75;€620,00;
Kale (mini);10-12;4;1,5;28;17;45;0;45;Livre;€7,75;€348,75;Prévoir 2 récoltes
Moutarde (mini);10-12;4;1,5;28;17;45;0;45;Livre;€7,75;€348,75;Prévoir 2 récoltes
Frisée (chicorée);4;15;6;72;60;95;37;80;Livre;€7,75;€620,00;